Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_52_748.jpg,2.385719,0,0,0,99.67031,85.58952,-0.000644229,42.12685,-0.000319954
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_52_827.jpg,0,0,0,0,99.67031,85.58953,-0.000590735,42.12685,-0.000278693
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_52_906.jpg,0,0,0,0,99.67031,85.58953,-0.000515068,42.12685,-0.000231618
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_52_947.jpg,0,0,0,0,99.67032,85.58953,-0.00046998,42.12685,-0.000206932
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_53_024.jpg,0,0,0,0,99.67032,85.58953,-0.000368911,42.12685,-0.000156054
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_53_065.jpg,0,0,0,0,99.67032,85.58953,-0.000313972,42.12684,-0.000130674
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_53_144.jpg,0,0,0,0,99.67032,85.58954,-0.000198374,42.12684,-8.12E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_53_220.jpg,0,0,0,0,99.67032,85.58954,-7.96E-05,42.12684,-3.45E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_53_261.jpg,0,0,0,0,99.67032,85.58954,-2.04E-05,42.12684,-1.25E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_53_303.jpg,0,0,0,0,99.67032,85.58954,3.82E-05,42.12684,8.20E-06
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_53_382.jpg,0,0,0,0,99.67032,85.58954,0.000151381,42.12684,4.57E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_53_463.jpg,0,0,0,0,99.67032,85.58955,0.000256428,42.12684,7.71E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_53_540.jpg,0,0,0,0,99.67032,85.58955,0.000350962,42.12684,0.000102724
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_53_581.jpg,0,0,0,0,99.67032,85.58955,0.000393584,42.12684,0.000112712
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_53_660.jpg,0,0,0,0,99.67033,85.58955,0.00046785,42.12684,0.000127697
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_53_738.jpg,0,0.2382332,0,0.01932418,99.67022,85.58945,-0.002459935,42.08654,0.000125906
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_53_818.jpg,0,0.4735105,0,0.03450393,99.673,85.59198,0.07931212,41.95573,0.000381114
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_53_858.jpg,0,0.5948325,0,0.03047515,99.67545,85.59417,0.1466403,41.93445,0.000440855
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_53_936.jpg,0,0.8325667,0,0.07632809,99.68378,85.60168,0.3681967,42.05206,3.54E-05
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_54_016.jpg,0,1,0,0.1487029,99.69604,85.61277,0.6425044,42.102,0.000217886
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_54_097.jpg,0,1,0,0.208172,99.71336,85.62844,0.979034,42.07664,0.00083714
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_54_176.jpg,0,1,0,0.2855704,99.73428,85.64746,1.302108,42.13948,0.0009996
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_54_254.jpg,0,1,0,0.3310745,99.75449,85.6649,1.227779,42.12087,0.002380654
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_54_295.jpg,0,1,0,0.3864208,99.76543,85.6748,1.131706,42.16782,-0.000139753
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_54_374.jpg,0,1,0,0.4577296,99.79215,85.6991,1.060738,42.16199,-0.001149963
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_54_454.jpg,0,1,0,0.5230901,99.82335,85.72751,1.078253,42.15557,0.000369082
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_54_533.jpg,0,1,0,0.5774517,99.85939,85.76034,1.180211,42.16845,0.000167802
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_54_574.jpg,0,1,0,0.6157062,99.87858,85.77783,1.227232,42.14664,0.001349966
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_54_653.jpg,0,1,0,0.6637114,99.91904,85.81466,1.240877,42.10349,0.000610164
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_54_695.jpg,0,1,0,0.7081323,99.94092,85.83456,1.23837,42.05961,0.001758651
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_54_771.jpg,0,1,0,0.7806651,99.98717,85.87664,1.205091,42.08681,0.000679274
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_54_812.jpg,0,1,0,0.8124186,100.0116,85.8988,1.188235,42.04589,0.000465834
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_54_853.jpg,0,1,0,0.8354626,100.0377,85.92253,1.206265,42.04515,0.000843795
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_54_932.jpg,0,1,0,0.9165663,100.0927,85.97255,1.235877,42.02821,0.000929656
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_54_972.jpg,0,1,0,0.9514928,100.1216,85.99879,1.240659,42.03209,0.00092496
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_55_051.jpg,0,1,0,1.016062,100.1819,86.05357,1.226275,42.04176,0.00089971
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_55_093.jpg,0,1,0,1.048002,100.2133,86.08208,1.212916,42.0458,0.000440433
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_55_132.jpg,0,1,0,1.071666,100.246,86.11179,1.220757,42.05077,0.000795684
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_55_173.jpg,0,1,0,1.107549,100.2795,86.14228,1.223767,42.05671,0.000835768
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_55_252.jpg,0,1,0,1.167844,100.3493,86.20568,1.228921,42.08049,0.000477476
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_55_331.jpg,0,1,0,1.230743,100.4226,86.27238,1.231652,42.09486,0.000908305
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_55_373.jpg,0,1,0,1.259493,100.4606,86.30706,1.233717,42.12105,0.000734896
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_55_450.jpg,0,1,0,1.326144,100.5396,86.37897,1.239604,42.1514,0.000883863
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_55_492.jpg,0,1,0,1.355756,100.5803,86.41615,1.238753,42.15607,0.000946576
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_55_532.jpg,0,1,0,1.386679,100.6221,86.45427,1.242099,42.17197,0.000866464
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_55_611.jpg,0,1,0,1.450405,100.7084,86.53307,1.249302,42.19306,0.000900198
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_55_651.jpg,0,1,0,1.482805,100.7529,86.57369,1.249123,42.19867,0.000966648
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_55_731.jpg,0,1,0,1.544884,100.8447,86.65759,1.256072,42.21414,0.00100081
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_55_772.jpg,0,1,0,1.575108,100.8919,86.70079,1.258512,42.2221,0.000990776
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_55_851.jpg,0,1,0,1.636981,100.9892,86.78973,1.263638,42.23717,0.001009566
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_55_932.jpg,0,1,0,1.683893,101.09,86.88204,1.271726,42.2536,0.001031666
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_56_009.jpg,0,1,0,1.759712,101.168,86.9534,1.273214,42.26355,0.001031133
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_56_051.jpg,0,1,0,1.775725,101.2479,87.02668,1.277941,42.27484,0.001057448
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_56_092.jpg,0,1,0,1.821279,101.3024,87.07658,1.281732,42.28122,0.001084991
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_56_171.jpg,0,1,0,1.881158,101.4139,87.17883,1.287677,42.29726,0.001097696
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_56_211.jpg,0,1,0,1.911976,101.471,87.23117,1.288924,42.30427,0.001104582
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_56_253.jpg,0,1,0,1.942171,101.529,87.2844,1.294954,42.31234,0.001133941
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_56_332.jpg,0,1,0,2.002108,101.6475,87.39316,1.296855,42.3265,0.001130846
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_56_373.jpg,0,1,0,2.032114,101.7081,87.44881,1.300697,42.33464,0.001156681
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_56_452.jpg,0,1,0,2.090827,101.8319,87.56252,1.306846,42.34912,0.001180062
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_56_492.jpg,0,1,0,2.121186,101.8951,87.62054,1.305702,42.35617,0.00118305
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_56_534.jpg,0,1,0,2.150938,101.9591,87.67942,1.30828,42.36429,0.001202267
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_56_614.jpg,0,1,0,2.209668,102.0898,87.79959,1.313484,42.37861,0.001213745
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_56_694.jpg,-1.693048,1,0,2.268452,102.2243,87.92268,1.321167,42.311,0.001932604
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_56_771.jpg,-5.360613,1,0,2.325379,102.3641,88.04606,1.311096,41.71853,-0.003159683
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_56_812.jpg,-7.081661,1,0,2.354568,102.4367,88.10716,1.298569,41.18533,359.9759
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_56_852.jpg,-8.904898,1,0,2.382032,102.511,88.16754,1.277429,40.48829,359.9419
G:\Udacity\final\RoboND-Rover-Project\FullRun\IMG\robocam_2017_06_07_21_27_56_933.jpg,-5.312001,1,0,2.438366,102.663,88.28909,1.21575,39.24733,359.9089
